Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    std                  | 0.981      |
|    value_loss           | 0.339      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.9        |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 6           |
|    time_elapsed         | 58          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.010968229 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.79       |
|    explained_variance   | 0.635       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.178       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0179     |
|    std                  | 0.98        |
|    value_loss           | 0.574       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 20.1        |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 7           |
|    time_elapsed         | 67          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.012868663 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.77       |
|    explained_variance   | 0.548       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0808      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0175     |
|    std                  | 0.974       |
|    value_loss           | 0.192       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19          |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 8           |
|    time_elapsed         | 75          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.015328554 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.76       |
|    explained_variance   | 0.609       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0818      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0203     |
|    std                  | 0.977       |
|    value_loss           | 0.415       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.1        |
| time/                   |             |
|    fps                  | 218         |
|    iterations           | 9           |
|    time_elapsed         | 84          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.013581382 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.77       |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0395      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0209     |
|    std                  | 0.977       |
|    value_loss           | 0.238       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 20.2        |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 10          |
|    time_elapsed         | 92          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.014239371 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.74       |
|    explained_variance   | 0.69        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0489      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0236     |
|    std                  | 0.969       |
|    value_loss           | 0.345       |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 500       |
|    ep_rew_mean          | 19.9      |
| time/                   |           |
|    fps                  | 221       |
|    iterations           | 11        |
|    time_elapsed         | 101       |
|    total_timesteps      | 22528     |
| train/                  |           |
|    approx_kl            | 0.0129928 |
|    clip_fraction        | 0.131     |
|    clip_range           | 0.2       |
|    entropy_loss         | -9.71     |
|    explained_variance   | 0.608     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.208     |
|    n_updates            | 100       |
|    policy_gradient_loss | -0.0184   |
|    std                  | 0.968     |
|    value_loss           | 0.585     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.4        |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 12          |
|    time_elapsed         | 110         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.015330472 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.68       |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0482      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0239     |
|    std                  | 0.963       |
|    value_loss           | 0.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.6        |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 13          |
|    time_elapsed         | 118         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.014669597 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.67       |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0641      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 0.963       |
|    value_loss           | 0.355       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.8        |
| time/                   |             |
|    fps                  | 224         |
|    iterations           | 14          |
|    time_elapsed         | 127         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.016765425 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.66       |
|    explained_variance   | 0.732       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.184       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0257     |
|    std                  | 0.961       |
|    value_loss           | 0.281       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 18.5       |
| time/                   |            |
|    fps                  | 225        |
|    iterations           | 15         |
|    time_elapsed         | 135        |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.01661191 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.64      |
|    explained_variance   | 0.71       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.202      |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.0241    |
|    std                  | 0.957      |
|    value_loss           | 0.46       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.9        |
| time/                   |             |
|    fps                  | 226         |
|    iterations           | 16          |
|    time_elapsed         | 144         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.016616985 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.61       |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0336      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0253     |
|    std                  | 0.953       |
|    value_loss           | 0.277       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.8        |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 17          |
|    time_elapsed         | 153         |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.016100138 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.59       |
|    explained_variance   | 0.344       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.199       |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0246     |
|    std                  | 0.952       |
|    value_loss           | 0.59        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.9        |
| time/                   |             |
|    fps                  | 227         |
|    iterations           | 18          |
|    time_elapsed         | 161         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.017465852 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.58       |
|    explained_variance   | 0.684       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.252       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0277     |
|    std                  | 0.951       |
|    value_loss           | 0.333       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 500          |
|    ep_rew_mean          | 19           |
| time/                   |              |
|    fps                  | 228          |
|    iterations           | 19           |
|    time_elapsed         | 170          |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0145888105 |
|    clip_fraction        | 0.15         |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.6         |
|    explained_variance   | 0.72         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0279       |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.0255      |
|    std                  | 0.955        |
|    value_loss           | 0.388        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.8        |
| time/                   |             |
|    fps                  | 228         |
|    iterations           | 20          |
|    time_elapsed         | 178         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.014271352 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.61       |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0451      |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.956       |
|    value_loss           | 0.291       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 18.9        |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 21          |
|    time_elapsed         | 187         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.015179105 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.62       |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00511     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0236     |
|    std                  | 0.958       |
|    value_loss           | 0.213       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19          |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 22          |
|    time_elapsed         | 196         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.013968041 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.65       |
|    explained_variance   | 0.727       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.159       |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0254     |
|    std                  | 0.962       |
|    value_loss           | 0.466       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.1        |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 23          |
|    time_elapsed         | 205         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.016053237 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.66       |
|    explained_variance   | 0.797       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.089       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0271     |
|    std                  | 0.961       |
|    value_loss           | 0.294       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.2        |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 24          |
|    time_elapsed         | 213         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.014768273 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.62       |
|    explained_variance   | 0.766       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.137       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.953       |
|    value_loss           | 0.258       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.9        |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 25          |
|    time_elapsed         | 222         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.015833803 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.58       |
|    explained_variance   | 0.757       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0544      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0262     |
|    std                  | 0.95        |
|    value_loss           | 0.342       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 20.7        |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 26          |
|    time_elapsed         | 231         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.014710164 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.55       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.128       |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0257     |
|    std                  | 0.946       |
|    value_loss           | 0.492       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 20.5        |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 27          |
|    time_elapsed         | 239         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.017247617 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.53       |
|    explained_variance   | 0.605       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.105       |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.021      |
|    std                  | 0.944       |
|    value_loss           | 0.585       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 20.4        |
| time/                   |             |
|    fps                  | 230         |
|    iterations           | 28          |
|    time_elapsed         | 248         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.014518686 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.54       |
|    explained_variance   | 0.38        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.254       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 0.947       |
|    value_loss           | 0.502       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 21.2        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 29          |
|    time_elapsed         | 257         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.014712592 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.55       |
|    explained_variance   | 0.432       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.106       |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0251     |
|    std                  | 0.949       |
|    value_loss           | 0.533       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 22.1       |
| time/                   |            |
|    fps                  | 231        |
|    iterations           | 30         |
|    time_elapsed         | 265        |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.01298593 |
|    clip_fraction        | 0.157      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.55      |
|    explained_variance   | 0.43       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.343      |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.0234    |
|    std                  | 0.947      |
|    value_loss           | 0.871      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 22.7        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 31          |
|    time_elapsed         | 274         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.015836045 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.54       |
|    explained_variance   | 0.635       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.127       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0239     |
|    std                  | 0.946       |
|    value_loss           | 0.663       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 24          |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 32          |
|    time_elapsed         | 283         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.013020754 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.52       |
|    explained_variance   | 0.619       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0988      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0241     |
|    std                  | 0.942       |
|    value_loss           | 0.555       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 24.2        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 33          |
|    time_elapsed         | 291         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.015539734 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.49       |
|    explained_variance   | 0.516       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.214       |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 0.938       |
|    value_loss           | 0.775       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 24.2        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 34          |
|    time_elapsed         | 300         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.016318824 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.47       |
|    explained_variance   | 0.748       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.234       |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0234     |
|    std                  | 0.936       |
|    value_loss           | 0.526       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 24.7        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 35          |
|    time_elapsed         | 309         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.018247234 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.46       |
|    explained_variance   | 0.549       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0872      |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0252     |
|    std                  | 0.936       |
|    value_loss           | 0.613       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 25.5        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 36          |
|    time_elapsed         | 317         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.015660666 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.43       |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0781      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0264     |
|    std                  | 0.93        |
|    value_loss           | 0.404       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 26.7       |
| time/                   |            |
|    fps                  | 232        |
|    iterations           | 37         |
|    time_elapsed         | 326        |
|    total_timesteps      | 75776      |
| train/                  |            |
|    approx_kl            | 0.01982797 |
|    clip_fraction        | 0.194      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.4       |
|    explained_variance   | 0.489      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.118      |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0254    |
|    std                  | 0.924      |
|    value_loss           | 0.574      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 28.2        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 38          |
|    time_elapsed         | 335         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.014630368 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.38       |
|    explained_variance   | 0.347       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.168       |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0235     |
|    std                  | 0.927       |
|    value_loss           | 0.604       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 29.2        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 39          |
|    time_elapsed         | 343         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.015941363 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.38       |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.134       |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.025      |
|    std                  | 0.924       |
|    value_loss           | 0.619       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 29.9        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 40          |
|    time_elapsed         | 352         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.016446881 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.37       |
|    explained_variance   | 0.54        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.248       |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0233     |
|    std                  | 0.925       |
|    value_loss           | 0.782       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 30.6       |
| time/                   |            |
|    fps                  | 232        |
|    iterations           | 41         |
|    time_elapsed         | 361        |
|    total_timesteps      | 83968      |
| train/                  |            |
|    approx_kl            | 0.01682857 |
|    clip_fraction        | 0.183      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.36      |
|    explained_variance   | 0.733      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.177      |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.0268    |
|    std                  | 0.921      |
|    value_loss           | 0.543      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 31.6        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 42          |
|    time_elapsed         | 370         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.014475299 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.36       |
|    explained_variance   | 0.829       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0839      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.925       |
|    value_loss           | 0.782       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 32.2        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 43          |
|    time_elapsed         | 378         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.018295784 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.38       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.169       |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0263     |
|    std                  | 0.927       |
|    value_loss           | 0.872       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 33.6        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 44          |
|    time_elapsed         | 387         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.015653156 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.37       |
|    explained_variance   | 0.878       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.152       |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0248     |
|    std                  | 0.921       |
|    value_loss           | 0.652       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 34.9        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 45          |
|    time_elapsed         | 396         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.015930802 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.32       |
|    explained_variance   | 0.644       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.248       |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0196     |
|    std                  | 0.914       |
|    value_loss           | 0.869       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 35.6       |
| time/                   |            |
|    fps                  | 232        |
|    iterations           | 46         |
